"title","rating","summary","relDate"
"Hamilton (2020)","8.7","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","3 July 2020 (USA)"
"Midsommar: The Directors Cut (2019)","7.1","A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.","3 July 2019 (USA)"
"The Wolf of Wall Street (2013)","8.2","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","25 December 2013 (USA)"
"The New Mutants (2020)","5.5","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.","28 August 2020 (USA)"
"Downhill (2020)","4.8","Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.","14 February 2020 (USA)"
"Promising Young Woman (2020)","6.2","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who cross her path.","25 December 2020 (USA)"
"Saint Maud (2019)","7.1","Follows a pious nurse who becomes dangerously obsessed with saving the soul of her dying patient.","9 October 2020 (UK)"
"Mean Girls (2004)","7.0","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","30 April 2004 (USA)"
"The Godfather (1972)","9.2","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","24 March 1972 (USA)"
"Greenland (2020)","6.5","A family struggles for survival in the face of a cataclysmic natural disaster.","18 December 2020 (USA)"
"Blade Runner 2049 (2017)","8.0","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","6 October 2017 (USA)"
"Judy (2019)","6.8","Legendary performer Judy Garland arrives in London in the winter of 1968 to perform a series of sold-out concerts.","4 October 2019 (USA)"
"Just Mercy (2019)","7.6","World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.","10 January 2020 (USA)"
"After (2019)","5.3","A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.","12 April 2019 (USA)"
"Possessor Uncut (2020)","6.5","Possessor follows an agent who works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.","2 October 2020 (USA)"
"The Babysitter (2017)","6.3","The events of one evening take an unexpected turn for the worst for a young boy trying to spy on his babysitter.","13 October 2017 (USA)"
"Wonder Woman 1984 (2020)","","Fast forward to the 1980s as Wonder Woman's next big screen adventure finds her facing two all-new foes: Max Lord and The Cheetah.","25 December 2020 (USA)"
"Fargo (1996)","8.1","Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.","5 April 1996 (USA)"
"Dune (1984)","6.5","A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.","14 December 1984 (USA)"
"Inception (2010)","8.8","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.","16 July 2010 (USA)"
"Bombshell (2019)","6.8","A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.","20 December 2019 (USA)"
"The Man from U.N.C.L.E. (2015)","7.3","In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.","14 August 2015 (USA)"
"Welcome to Sudden Death (2020)","4.2","Sequel to the 1995 Jean-Claude Van Damme action flick.","Video 29 September 2020"
